Player,points,tally_points,rebounds,tally_rebounds,steals,tally_steals,turnover,tally_turnover,foul,tally_foul,assist,tally_assist,missed_shot,tally_ms
maryland,,,,,,,,,,,,,,
m.trimble,0,,2,||,0,,1,|,1,|,0,,0,
r.sulaimon,0,,0,,1,|,0,,0,,0,,2,||
j.layman,2,||,0,,0,,0,,0,,1,|,1,|
r.carter,0,,2,||,0,,1,|,0,,1,|,0,
d.stone,4,||||,0,,0,,0,,0,,0,,0,
j.nickens,0,,0,,0,,0,,0,,0,,0,
bowie st,,,,,,,,,,,,,,
m.jackson,2,||,2,||,0,,1,|,0,,0,,1,|
j.beck,0,,1,|,0,,0,,1,|,0,,2,||
a.jackson,0,,0,,0,,0,,0,,0,,2,||
e.ebinum,1,|,0,,0,,0,,2,||,0,,1,|
d.wells,0,,0,,0,,0,,1,|,0,,1,|
j.livingston,0,,0,,0,,0,,0,,0,,0,
m.briscoe,0,,0,,0,,0,,0,,0,,0,
